times,angle_sun,angle_mercury,angle_venus,angle_mars,angle_jupiter,angle_saturn,angle_uranus,dist_sun,dist_mercury,dist_venus,dist_mars,dist_jupiter,dist_saturn,dist_uranus
0,3.1415926536,3.1415926536,3.1415926536,0,0,0,0,151489790000,81563250000,42758630000,97807690000,664157630000,1355944710000,2853888110000
864000,-2.9751915568,3.0643645417,3.0406961418,-0.0616175683,-0.0215165917,-0.0126462003,-0.0068206028,151447566934.965,89629787421.218,44978839935.7671,99340918011.4399,666372162286.038,1358165648773.23,2856083127309.25
1728000,-2.8086055258,3.1021505976,2.9936852797,-0.112457388,-0.0415743663,-0.0246538936,-0.0133632784,151322032092.899,111407976861.563,51028189431.6541,103789177741.05,672923582276.811,1364752129136.37,2862601374318.43
2592000,-2.6416538014,-3.0118220043,3.0142623446,-0.1451401143,-0.0588523599,-0.0354225457,-0.0193614174,151116552992.613,142215504325.726,59665235750.1704,110757979455.656,683544634936.2,1375479549014.06,2873244836721
3456000,-2.4741637679,-2.7313344943,3.090045719,-0.1567642902,-0.0722749661,-0.0444226486,-0.0245702264,150836650780.23,174971762486.562,69813025746.3932,119740503335.553,697818485605.452,1389987633210.99,2887691322162.09
4320000,-2.3059749471,-2.3795122188,-3.0781858246,-0.1478371783,-0.0810705767,-0.0512201054,-0.0287756939,150489900968.962,197022028538.962,80759279011.9144,130233758549.112,715214487091.922,1407799516780.05,2905505648262.16
5184000,-2.136943034,-2.0239195105,-2.9362389919,-0.1206130832,-0.0847797002,-0.0554901637,-0.0318015349,150085797054.146,201282360058.672,92063307062.7807,141800071757.991,735127083280.514,1428345026728.88,2926154323083.54
6048000,-1.9669440247,-1.7023916156,-2.7754302258,-0.0778558886,-0.0832241887,-0.057021144,-0.0335138752,149635566556.182,193311599180.197,103447705317.329,154082750271.97,756911877985.756,1450985774064.84,2949022929942.25
6912000,-1.7958782842,-1.4188526431,-2.60106108,-0.0221923335,-0.0764547263,-0.0557097585,-0.0338236933,149151938670.432,178886637915.485,114730377926.735,166798521415.269,779915337772.696,1475040027035.74,2973435411163.25
7776000,-1.6236744031,-1.173211856,-2.4166345994,0.0441309516,-0.0646922603,-0.0515506109,-0.0326872325,148648853041.357,160283876116.007,125787127118.166,179722900073.81,803497059566.8,1499805950092.23,2998674509127.63
